Budget,Clicks,Conversions,Revenue_Generated,ROI,Subscription_Tier,Subscription_Length,Discount_Level,Units_Sold,Bundle_Price,Customer_Satisfaction_Post_Refund,Common_Keywords,Budget_Category,ROI_Category,Subscription_Length_Category,Discount_Category,Satisfaction_Category
36846.94,4784,265,66069.89,4.17,Basic,20,66,65,498.57,4,Durable,High,Excellent,Long,Very High,High
25916.4,4226,224,10414.58,3.24,Premium,25,69,65,98.35,1,Durable,High,Good,Long,Very High,Low
28547.67,336,970,76082.62,0.56,Premium,27,63,189,195.9,3,Affordable,High,Poor,Long,Very High,Medium
7312.85,1276,127,57709.38,4.08,Premium,27,49,94,195.99,3,Stylish,Low,Excellent,Long,High,Medium
1959.16,4764,863,21227.06,4.55,Basic,7,15,178,163.44,3,Affordable,Low,Excellent,Short,Low,Medium
26779.71,2503,863,37673.8,2.65,Basic,20,65,150,88.8,3,Affordable,High,Average,Long,Very High,Medium
17128.68,4833,332,24756.73,0.55,Standard,31,54,42,148.15,2,Stylish,Medium,Poor,Very Long,High,Low
41391.94,4400,304,44780.58,1.56,Basic,24,51,49,349.25,2,Innovative,Very High,Poor,Long,High,Low
39184.46,4731,561,33612.87,2.17,Premium,26,24,149,445.46,3,Durable,Very High,Average,Long,Low,Medium
43338.98,370,694,94372.65,2.83,Premium,18,45,110,376.42,2,Durable,Very High,Good,Medium,High,Low
13941.01,4978,991,57582.12,4.97,Premium,18,60,130,492.68,1,Affordable,Medium,Excellent,Medium,Very High,Low
31570.37,584,916,85290.95,2.81,Standard,27,65,59,432.54,2,Durable,High,Good,Long,Very High,Low
40378.44,3644,961,14969.47,4.45,Standard,21,27,143,139.87,1,Stylish,Very High,Excellent,Long,Medium,Low
40751.1,166,660,58772.0,2.12,Premium,1,15,185,210.66,1,Durable,Very High,Average,Short,Low,Low
20881.35,562,105,27360.42,0.65,Basic,8,32,78,123.88,4,Durable,Medium,Poor,Short,Medium,High
37750.34,1815,425,98784.62,2.04,Basic,1,57,49,472.8,4,Durable,High,Average,Short,Very High,High
46905.16,2827,555,11520.36,3.9,Premium,22,28,30,415.71,4,Stylish,Very High,Excellent,Long,Medium,High
30423.23,3868,542,71493.23,0.78,Premium,7,38,65,316.3,2,Affordable,High,Poor,Short,Medium,Low
19602.27,4346,127,11416.65,2.2,Basic,33,19,68,203.3,1,Durable,Medium,Average,Very Long,Low,Low
5822.68,2014,794,26502.17,4.28,Basic,1,64,135,385.03,3,Durable,Low,Excellent,Short,Very High,Medium
15987.38,1159,801,67196.97,3.2,Standard,13,46,119,248.41,2,Affordable,Medium,Good,Medium,High,Low
29650.97,2684,176,28377.38,4.46,Premium,16,10,83,235.4,3,Stylish,High,Excellent,Medium,Low,Medium
31506.22,4055,285,86747.98,0.66,Basic,3,57,16,164.4,4,Durable,High,Poor,Short,Very High,High
4043.23,264,774,40472.27,4.61,Basic,28,42,71,276.39,3,Durable,Low,Excellent,Very Long,High,Medium
14640.38,2847,941,12012.27,2.37,Premium,29,50,125,66.54,1,Affordable,Medium,Average,Very Long,High,Low
35689.23,2170,382,78444.12,4.8,Standard,9,28,81,447.18,1,Innovative,High,Excellent,Short,Medium,Low
35159.97,2128,230,78109.93,4.54,Premium,27,17,78,335.1,4,Durable,High,Excellent,Long,Low,High
45889.59,2325,270,26268.65,4.81,Standard,18,57,106,178.71,4,Affordable,Very High,Excellent,Medium,Very High,High
42403.74,2309,355,83108.26,4.92,Premium,2,15,145,246.89,1,Stylish,Very High,Excellent,Short,Low,Low
26295.34,1952,282,1572.71,2.46,Basic,25,16,104,197.7,1,Innovative,High,Average,Long,Low,Low
18509.19,245,827,23329.59,0.92,Standard,14,54,12,180.36,2,Affordable,Medium,Poor,Medium,High,Low
7876.62,2267,633,11750.09,2.3,Premium,25,21,169,202.47,2,Stylish,Low,Average,Long,Low,Low
42760.55,325,831,46210.0,0.54,Basic,26,45,133,436.78,2,Stylish,Very High,Poor,Long,High,Low
18045.33,2026,250,50541.83,1.04,Premium,23,19,71,125.51,4,Durable,Medium,Poor,Long,Low,High
25823.31,525,258,41951.91,4.19,Basic,33,11,198,402.2,3,Stylish,High,Excellent,Very Long,Low,Medium
23140.08,2684,182,2295.93,2.66,Standard,22,30,6,477.97,1,Durable,Medium,Average,Long,Medium,Low
16495.24,3212,252,99553.8,4.14,Basic,18,20,37,481.95,2,Stylish,Medium,Excellent,Medium,Low,Low
41422.82,1586,297,22770.41,2.14,Premium,28,40,80,375.23,2,Durable,Very High,Average,Very Long,High,Low
32130.69,2912,435,49396.63,4.37,Basic,28,62,31,408.92,1,Affordable,High,Excellent,Very Long,Very High,Low
38330.08,640,660,52430.83,3.18,Premium,15,55,177,246.63,3,Affordable,Very High,Good,Medium,Very High,Medium
28480.06,1889,760,14001.19,2.99,Basic,26,30,6,370.62,3,Durable,High,Good,Long,Medium,Medium
2284.64,1017,243,12797.21,3.16,Basic,29,17,140,369.05,3,Durable,Low,Good,Very Long,Low,Medium
39129.75,4458,932,11093.5,1.7,Basic,28,55,137,209.4,2,Durable,Very High,Average,Very Long,Very High,Low
12226.9,4448,881,75739.12,0.69,Premium,30,44,185,229.28,4,Durable,Low,Poor,Very Long,High,High
27990.48,4248,861,61504.02,1.68,Standard,10,15,196,50.01,1,Durable,High,Average,Medium,Low,Low
7739.14,4510,356,38814.07,4.17,Premium,23,61,175,171.58,1,Stylish,Low,Excellent,Long,Very High,Low
28222.54,286,508,53239.51,0.9,Basic,4,17,139,450.54,4,Stylish,High,Poor,Short,Low,High
28085.25,2322,983,65954.74,1.84,Basic,22,55,78,172.52,3,Innovative,High,Average,Long,Very High,Medium
14133.57,1830,103,60051.21,4.43,Premium,1,58,20,265.1,2,Durable,Medium,Excellent,Short,Very High,Low
13544.31,3933,281,45413.47,3.7,Standard,23,25,48,427.16,4,Stylish,Medium,Good,Long,Medium,High
11814.48,4456,172,21228.84,0.62,Premium,16,24,9,250.65,4,Innovative,Low,Poor,Medium,Low,High
41853.09,3613,242,89047.1,1.92,Basic,34,55,107,381.39,3,Affordable,Very High,Average,Very Long,Very High,Medium
23356.9,56,547,2584.08,1.71,Premium,23,31,99,381.52,3,Durable,Medium,Average,Long,Medium,Medium
8708.62,93,828,29368.39,0.75,Basic,35,39,155,176.59,2,Durable,Low,Poor,Very Long,Medium,Low
36894.58,1456,545,25206.59,4.1,Standard,17,11,13,488.45,3,Durable,High,Excellent,Medium,Low,Medium
12732.28,2234,282,73471.06,1.77,Standard,22,53,148,103.76,2,Durable,Low,Average,Long,High,Low
39821.41,3304,203,32689.1,2.12,Standard,33,27,182,216.63,2,Stylish,Very High,Average,Very Long,Medium,Low
28307.35,4408,650,1876.16,0.71,Premium,29,47,164,290.21,2,Durable,High,Poor,Very Long,High,Low
6012.86,944,466,15048.39,1.36,Standard,21,15,15,217.15,1,Stylish,Low,Poor,Long,Low,Low
7106.49,457,450,74651.57,0.6,Basic,25,48,86,274.63,3,Affordable,Low,Poor,Long,High,Medium
17113.05,942,882,79887.2,0.61,Standard,33,24,130,76.55,1,Durable,Medium,Poor,Very Long,Low,Low
26037.46,2329,751,34252.75,3.99,Standard,18,54,86,150.17,1,Innovative,High,Excellent,Medium,High,Low
10793.36,1712,722,30196.55,1.79,Basic,23,52,61,448.25,4,Durable,Low,Average,Long,High,High
48308.2,1477,623,47089.11,0.8,Standard,13,54,175,64.95,1,Durable,Very High,Poor,Medium,High,Low
15155.61,3908,15,65380.27,3.85,Standard,5,36,41,384.76,1,Affordable,Medium,Good,Short,Medium,Low
19782.21,2209,84,47572.7,1.81,Standard,18,16,149,266.33,3,Stylish,Medium,Average,Medium,Low,Medium
3910.97,4891,185,41137.39,3.14,Standard,12,63,27,196.71,3,Innovative,Low,Good,Medium,Very High,Medium
28749.16,2174,105,28866.58,4.25,Basic,11,41,163,470.57,1,Affordable,High,Excellent,Medium,High,Low
46582.58,3324,551,79832.27,1.78,Basic,35,43,50,63.97,1,Durable,Very High,Average,Very Long,High,Low
24059.92,2255,798,56232.27,3.32,Basic,25,61,162,296.12,1,Durable,Medium,Good,Long,Very High,Low
22896.34,2194,446,54914.94,3.13,Standard,4,67,189,58.69,4,Stylish,Medium,Good,Short,Very High,High
25624.87,1023,444,34871.5,3.55,Standard,9,36,6,368.91,3,Stylish,High,Good,Short,Medium,Medium
15586.04,133,931,27489.03,1.2,Standard,10,19,123,471.06,1,Stylish,Medium,Poor,Medium,Low,Low
36633.84,200,221,6619.23,3.1,Basic,27,64,119,472.32,4,Innovative,High,Good,Long,Very High,High
33906.16,2302,238,64127.25,3.14,Premium,8,37,132,457.55,3,Stylish,High,Good,Short,Medium,Medium
2960.88,1244,87,50058.59,2.86,Standard,17,43,77,193.43,1,Affordable,Low,Good,Medium,High,Low
31391.42,3120,91,16518.79,1.02,Standard,25,13,159,232.85,2,Durable,High,Poor,Long,Low,Low
37887.75,1679,568,56033.81,3.93,Basic,19,51,116,87.19,3,Stylish,High,Excellent,Long,High,Medium
33053.57,4761,287,41533.37,2.31,Standard,29,21,30,285.36,4,Innovative,High,Average,Very Long,Low,High
38819.85,16,329,9181.41,3.33,Premium,27,17,24,464.84,3,Stylish,Very High,Good,Long,Low,Medium
25371.36,4836,763,43820.59,1.27,Basic,7,53,77,281.54,4,Durable,High,Poor,Short,High,High
42130.45,220,315,12317.2,4.63,Standard,23,51,23,136.36,2,Affordable,Very High,Excellent,Long,High,Low
21495.54,1754,824,17222.81,2.33,Standard,16,52,131,447.71,2,Stylish,Medium,Average,Medium,High,Low
30958.47,1327,204,23707.58,2.16,Basic,6,10,11,145.03,1,Stylish,High,Average,Short,Low,Low
40937.84,1852,189,29395.54,2.35,Standard,23,19,103,68.62,3,Stylish,Very High,Average,Long,Low,Medium
27557.9,4720,353,52678.59,1.73,Basic,9,39,8,70.95,4,Affordable,High,Average,Short,Medium,High
26063.42,2930,376,74441.33,2.5,Basic,3,42,2,428.47,3,Innovative,High,Average,Short,High,Medium
28386.51,3755,268,41764.97,2.43,Basic,10,18,72,395.84,1,Stylish,High,Average,Medium,Low,Low
13899.11,2373,907,38213.21,0.99,Premium,26,30,79,194.31,4,Affordable,Medium,Poor,Long,Medium,High
40731.89,158,575,77706.42,1.63,Premium,20,39,147,143.72,4,Durable,Very High,Poor,Long,Medium,High
25579.05,2850,698,13992.45,3.18,Standard,18,21,35,115.96,1,Innovative,High,Good,Medium,Low,Low
2339.3,3232,565,86318.57,4.38,Basic,1,61,43,364.27,3,Affordable,Low,Excellent,Short,Very High,Medium
35744.64,3877,146,18991.61,2.65,Premium,35,36,61,320.26,2,Innovative,High,Average,Very Long,Medium,Low
19437.96,2146,787,2158.49,4.35,Premium,15,60,135,484.81,2,Stylish,Medium,Excellent,Medium,Very High,Low
44367.82,3520,531,60265.98,3.35,Basic,25,57,197,193.17,4,Durable,Very High,Good,Long,Very High,High
13579.61,2535,877,84408.33,0.99,Premium,33,28,6,290.54,1,Affordable,Medium,Poor,Very Long,Medium,Low
8252.45,2508,919,17831.91,4.32,Standard,18,21,73,288.39,1,Affordable,Low,Excellent,Medium,Low,Low
47313.9,4770,902,74515.85,1.57,Premium,34,38,6,313.17,3,Innovative,Very High,Poor,Very Long,Medium,Medium
30533.3,929,39,54684.55,2.58,Basic,9,32,135,255.54,3,Stylish,High,Average,Short,Medium,Medium
21694.72,1887,755,40355.61,0.61,Standard,3,54,172,62.49,3,Affordable,Medium,Poor,Short,High,Medium
11590.65,3238,702,1992.02,1.79,Standard,3,52,68,409.82,2,Innovative,Low,Average,Short,High,Low
39353.98,1064,410,22236.13,4.76,Basic,1,27,9,222.71,4,Affordable,Very High,Excellent,Short,Medium,High
43346.55,1706,145,38094.94,3.02,Standard,9,34,188,89.29,4,Innovative,Very High,Good,Short,Medium,High
21312.52,2045,340,72998.71,1.18,Premium,18,69,142,258.17,2,Stylish,Medium,Poor,Medium,Very High,Low
2588.0,2087,222,87681.31,3.39,Standard,16,19,32,97.33,2,Stylish,Low,Good,Medium,Low,Low
15624.17,2204,557,40277.78,2.11,Basic,28,68,56,264.39,2,Innovative,Medium,Average,Very Long,Very High,Low
49077.33,867,235,1113.22,3.37,Basic,20,52,112,50.66,2,Innovative,Very High,Good,Long,High,Low
13700.29,810,840,26547.01,4.58,Premium,12,47,74,404.73,3,Stylish,Medium,Excellent,Medium,High,Medium
23701.93,2065,868,79489.89,1.09,Premium,20,24,154,399.97,3,Stylish,Medium,Poor,Long,Low,Medium
1247.53,2420,653,67630.64,2.84,Premium,22,28,159,79.89,1,Durable,Low,Good,Long,Medium,Low
28229.83,3266,439,60793.94,2.25,Standard,20,59,128,281.3,2,Durable,High,Average,Long,Very High,Low
2698.47,3121,671,91170.91,1.31,Standard,33,12,94,163.19,2,Affordable,Low,Poor,Very Long,Low,Low
20586.03,4642,862,55004.05,4.83,Basic,30,36,139,248.98,4,Stylish,Medium,Excellent,Very Long,Medium,High
22610.57,1405,710,91132.5,2.54,Basic,8,17,160,57.11,2,Stylish,Medium,Average,Short,Low,Low
39039.88,2306,74,29492.91,3.54,Standard,2,38,140,351.46,1,Innovative,Very High,Good,Short,Medium,Low
32277.93,427,179,46558.22,1.58,Premium,25,29,104,325.46,2,Innovative,High,Poor,Long,Medium,Low
35357.99,3308,315,54416.75,1.37,Premium,29,55,192,189.57,3,Innovative,High,Poor,Very Long,Very High,Medium
11081.71,3425,518,59910.17,1.86,Premium,23,16,109,55.96,3,Durable,Low,Average,Long,Low,Medium
17335.0,2499,311,39580.11,1.23,Premium,29,22,63,121.06,3,Affordable,Medium,Poor,Very Long,Low,Medium
42483.64,4153,663,10429.57,3.73,Standard,12,13,152,412.13,3,Affordable,Very High,Good,Medium,Low,Medium
7630.25,4676,446,38611.3,3.53,Standard,9,37,75,50.09,2,Innovative,Low,Good,Short,Medium,Low
8337.84,108,444,65642.83,1.8,Basic,11,52,186,423.14,3,Affordable,Low,Average,Medium,High,Medium
44318.0,1435,581,51314.1,4.6,Basic,8,20,129,370.94,2,Durable,Very High,Excellent,Short,Low,Low
42542.11,506,884,30888.11,3.08,Premium,26,29,84,467.5,2,Affordable,Very High,Good,Long,Medium,Low
10497.96,3981,173,52119.82,4.21,Standard,23,44,143,134.53,1,Affordable,Low,Excellent,Long,High,Low
25624.08,3409,427,21016.67,4.82,Standard,19,33,96,386.67,1,Stylish,High,Excellent,Long,Medium,Low
4250.3,4934,958,35299.1,4.18,Premium,20,36,179,196.31,1,Innovative,Low,Excellent,Long,Medium,Low
3328.4,4054,245,17561.58,2.57,Premium,14,58,46,139.88,1,Durable,Low,Average,Medium,Very High,Low
26933.59,3688,179,88891.43,3.84,Basic,14,33,33,263.1,3,Stylish,High,Good,Medium,Medium,Medium
48172.82,4618,538,35993.9,0.71,Premium,30,27,73,101.95,3,Durable,Very High,Poor,Very Long,Medium,Medium
14898.49,4489,604,87812.57,1.89,Premium,4,13,162,193.77,2,Affordable,Medium,Average,Short,Low,Low
5477.98,2503,49,23180.95,1.08,Standard,32,51,27,346.12,4,Stylish,Low,Poor,Very Long,High,High
49153.76,2988,402,98572.06,3.39,Premium,29,46,69,460.28,4,Durable,Very High,Good,Very Long,High,High
10643.21,489,188,13564.83,4.15,Premium,33,24,2,109.94,2,Durable,Low,Excellent,Very Long,Low,Low
25753.36,3214,164,21278.94,1.94,Premium,23,44,194,114.34,3,Innovative,High,Average,Long,High,Medium
25979.21,3624,885,92533.32,3.43,Premium,20,33,121,416.96,1,Innovative,High,Good,Long,Medium,Low
24732.03,3382,176,93900.92,4.87,Basic,16,53,109,465.64,1,Durable,Medium,Excellent,Medium,High,Low
14861.61,3022,535,48512.66,4.28,Standard,11,30,124,257.18,3,Durable,Medium,Excellent,Medium,Medium,Medium
42220.32,4527,590,28074.63,4.6,Premium,13,58,128,173.52,3,Innovative,Very High,Excellent,Medium,Very High,Medium
25906.25,4497,955,98178.45,1.58,Basic,30,30,91,153.24,4,Affordable,High,Poor,Very Long,Medium,High
22618.76,4459,9,67533.17,1.14,Standard,34,38,14,300.02,1,Affordable,Medium,Poor,Very Long,Medium,Low
38643.9,66,918,57564.65,1.39,Premium,21,16,177,489.03,4,Stylish,Very High,Poor,Long,Low,High
21681.75,3494,959,30625.67,1.29,Basic,15,39,12,181.13,4,Stylish,Medium,Poor,Medium,Medium,High
912.95,1890,700,62205.76,2.41,Standard,5,18,67,392.15,2,Durable,Low,Average,Short,Low,Low
10287.42,3824,14,94873.61,2.12,Basic,14,27,128,289.56,2,Innovative,Low,Average,Medium,Medium,Low
2828.59,432,572,17768.7,3.62,Standard,22,47,184,451.55,3,Innovative,Low,Good,Long,High,Medium
9570.1,2394,796,58303.92,3.62,Basic,3,58,13,381.32,2,Innovative,Low,Good,Short,Very High,Low
41184.86,2523,992,37941.05,1.37,Standard,15,47,51,83.6,1,Stylish,Very High,Poor,Medium,High,Low
45726.81,3155,174,5049.44,0.83,Basic,15,65,173,355.44,1,Innovative,Very High,Poor,Medium,Very High,Low
19116.42,1801,330,50770.87,1.97,Premium,28,42,185,392.67,3,Stylish,Medium,Average,Very Long,High,Medium
33511.01,1797,939,59261.56,2.94,Premium,31,29,74,73.32,2,Affordable,High,Good,Very Long,Medium,Low
45823.12,3387,275,68184.93,1.96,Basic,29,43,133,478.17,2,Durable,Very High,Average,Very Long,High,Low
47477.99,3736,404,24910.21,3.02,Premium,35,40,34,311.23,2,Stylish,Very High,Good,Very Long,High,Low
46122.33,3069,911,35971.5,0.55,Basic,20,57,89,279.9,4,Innovative,Very High,Poor,Long,Very High,High
35651.36,1135,263,16266.84,3.59,Premium,5,12,70,111.39,3,Stylish,High,Good,Short,Low,Medium
19366.09,454,706,53118.77,0.69,Basic,5,54,154,192.11,4,Innovative,Medium,Poor,Short,High,High
16335.17,3944,257,22251.31,0.79,Standard,1,16,5,241.18,1,Affordable,Medium,Poor,Short,Low,Low
39189.01,1315,188,28022.71,1.17,Premium,31,43,68,445.38,2,Innovative,Very High,Poor,Very Long,High,Low
34352.98,1023,930,47478.41,2.08,Basic,29,12,37,457.84,2,Innovative,High,Average,Very Long,Low,Low
31091.65,3093,195,23415.31,1.08,Standard,31,64,148,159.23,3,Durable,High,Poor,Very Long,Very High,Medium
18270.43,396,13,93358.17,4.92,Standard,1,28,75,414.09,2,Affordable,Medium,Excellent,Short,Medium,Low
43191.01,288,99,66704.52,4.2,Basic,13,15,33,60.9,4,Affordable,Very High,Excellent,Medium,Low,High
36760.86,2986,593,12896.08,1.85,Premium,2,52,101,464.84,1,Innovative,High,Average,Short,High,Low
43237.34,253,215,32610.52,3.82,Basic,17,58,61,229.9,1,Innovative,Very High,Good,Medium,Very High,Low
28827.13,350,18,20792.67,2.75,Basic,25,28,3,325.03,4,Affordable,High,Average,Long,Medium,High
48576.15,3863,421,84610.77,3.16,Standard,9,15,134,120.6,2,Durable,Very High,Good,Short,Low,Low
21236.49,4474,803,45801.67,1.86,Basic,2,21,160,385.35,4,Affordable,Medium,Average,Short,Low,High
23320.15,3298,15,88706.46,2.47,Basic,5,37,66,138.71,3,Stylish,Medium,Average,Short,Medium,Medium
12304.64,745,953,44270.55,1.67,Basic,25,58,31,369.72,3,Affordable,Low,Average,Long,Very High,Medium
21553.8,4532,632,49312.43,2.87,Premium,11,37,24,414.97,2,Durable,Medium,Good,Medium,Medium,Low
21140.7,2602,213,26135.74,1.21,Premium,32,63,6,344.29,1,Innovative,Medium,Poor,Very Long,Very High,Low
16900.46,2647,500,68839.13,0.89,Standard,17,35,148,69.89,2,Stylish,Medium,Poor,Medium,Medium,Low
36997.74,4433,627,65597.51,3.13,Basic,11,51,162,166.22,3,Durable,High,Good,Medium,High,Medium
18091.42,1364,863,8544.94,4.41,Premium,7,68,149,452.25,4,Durable,Medium,Excellent,Short,Very High,High
42429.42,4193,29,48279.14,3.37,Premium,17,38,28,351.42,3,Stylish,Very High,Good,Medium,Medium,Medium
43451.91,937,484,26524.05,3.86,Basic,6,61,121,465.86,4,Durable,Very High,Good,Short,Very High,High
10390.31,2621,462,70952.98,4.54,Premium,7,51,179,440.91,3,Stylish,Low,Excellent,Short,High,Medium
22096.9,1616,971,72741.53,1.63,Premium,31,56,139,413.13,3,Stylish,Medium,Poor,Very Long,Very High,Medium
9464.25,522,312,46345.84,4.68,Standard,33,64,17,210.25,2,Affordable,Low,Excellent,Very Long,Very High,Low
21442.7,586,165,87833.38,3.05,Basic,10,50,27,421.76,3,Affordable,Medium,Good,Medium,High,Medium
34701.94,4149,119,75684.9,3.24,Basic,35,39,15,421.3,2,Stylish,High,Good,Very Long,Medium,Low
46174.57,3503,209,97890.36,1.34,Standard,13,18,183,464.09,2,Stylish,Very High,Poor,Medium,Low,Low
25383.61,4626,395,67025.66,4.4,Premium,13,57,96,298.3,1,Innovative,High,Excellent,Medium,Very High,Low
23956.39,3803,366,86204.06,3.59,Basic,13,24,33,366.91,4,Innovative,Medium,Good,Medium,Low,High
21801.6,3321,947,77309.1,2.43,Standard,35,24,105,495.89,1,Innovative,Medium,Average,Very Long,Low,Low
3237.07,3664,513,21549.45,2.55,Premium,26,16,172,235.87,4,Stylish,Low,Average,Long,Low,High
49482.98,4167,90,35940.01,3.26,Premium,34,19,162,305.26,1,Affordable,Very High,Good,Very Long,Low,Low
41915.42,3049,368,6109.36,2.55,Standard,24,67,56,481.8,1,Durable,Very High,Average,Long,Very High,Low
21404.18,1300,695,35953.53,1.12,Basic,17,16,103,267.58,1,Innovative,Medium,Poor,Medium,Low,Low
46547.66,4073,596,58651.28,1.14,Standard,19,60,1,230.09,2,Stylish,Very High,Poor,Long,Very High,Low
34349.08,3480,972,48885.78,1.79,Standard,17,30,36,362.28,2,Innovative,High,Average,Medium,Medium,Low
4613.96,1273,949,97882.5,1.52,Premium,34,54,64,269.48,4,Affordable,Low,Poor,Very Long,High,High
13519.58,690,54,75175.58,1.64,Basic,18,53,82,258.34,2,Durable,Medium,Average,Medium,High,Low
44760.15,4614,221,4796.27,0.6,Premium,22,51,2,407.38,1,Stylish,Very High,Poor,Long,High,Low
14240.9,3738,308,78678.12,3.43,Standard,8,69,36,376.17,1,Stylish,Medium,Good,Short,Very High,Low
14533.91,246,599,42929.79,1.68,Premium,21,56,175,132.57,3,Durable,Medium,Average,Long,Very High,Medium
6408.5,3911,485,81940.88,2.8,Premium,10,51,115,472.52,1,Innovative,Low,Good,Medium,High,Low
47344.86,3643,568,47849.08,1.63,Basic,31,35,136,193.56,3,Durable,Very High,Poor,Very Long,Medium,Medium
10738.51,3287,816,25469.24,1.78,Standard,26,28,31,373.12,1,Stylish,Low,Average,Long,Medium,Low
21630.66,815,711,82483.62,2.97,Basic,27,19,75,380.25,3,Stylish,Medium,Good,Long,Low,Medium
41221.41,203,349,1205.52,3.53,Standard,10,14,25,349.65,3,Affordable,Very High,Good,Medium,Low,Medium
35941.42,102,715,62396.78,4.69,Basic,5,64,165,408.96,1,Durable,High,Excellent,Short,Very High,Low
20799.81,4127,390,59158.97,2.74,Basic,35,23,67,132.73,2,Stylish,Medium,Average,Very Long,Low,Low
1412.73,2356,50,57695.7,0.75,Standard,9,14,149,50.49,4,Innovative,Low,Poor,Short,Low,High
42697.55,4045,307,49292.89,1.12,Premium,32,55,62,164.86,3,Stylish,Very High,Poor,Very Long,Very High,Medium
1407.36,2854,245,69507.19,1.33,Basic,18,11,22,317.55,3,Stylish,Low,Poor,Medium,Low,Medium
33847.69,4490,976,30469.61,2.82,Premium,20,31,17,413.91,1,Innovative,High,Good,Long,Medium,Low
25942.44,1709,752,26159.57,3.93,Basic,31,66,53,309.2,4,Innovative,High,Excellent,Very Long,Very High,High
18410.0,1608,799,41567.3,1.54,Standard,24,35,98,132.91,1,Innovative,Medium,Poor,Long,Medium,Low
1834.34,1482,876,36004.6,3.3,Basic,3,28,77,368.49,4,Stylish,Low,Good,Short,Medium,High
48873.28,4986,838,4953.4,3.38,Standard,15,64,103,159.81,4,Affordable,Very High,Good,Medium,Very High,High
28496.2,186,213,84196.43,3.8,Basic,28,25,7,183.21,1,Affordable,High,Good,Very Long,Medium,Low
44574.46,1513,60,28383.34,2.12,Standard,13,37,126,222.41,2,Affordable,Very High,Average,Medium,Medium,Low
34479.22,4358,182,28072.0,4.87,Premium,25,43,116,224.6,3,Innovative,High,Excellent,Long,High,Medium
37199.34,2892,52,32241.12,4.99,Premium,16,53,36,426.62,2,Stylish,High,Excellent,Medium,High,Low
8893.94,4958,68,26928.5,2.04,Standard,2,18,198,95.26,3,Innovative,Low,Average,Short,Low,Medium
9980.88,4733,826,47395.48,2.77,Standard,29,29,106,256.03,1,Innovative,Low,Good,Very Long,Medium,Low
40426.63,333,817,6560.72,3.51,Standard,13,56,82,409.03,1,Stylish,Very High,Good,Medium,Very High,Low
30917.99,3512,956,73180.68,0.97,Premium,16,53,131,367.96,1,Affordable,High,Poor,Medium,High,Low
1543.42,4580,339,49087.42,3.89,Premium,2,55,63,479.94,1,Affordable,Low,Good,Short,Very High,Low
4222.04,720,278,59445.41,3.98,Basic,2,40,86,273.05,3,Stylish,Low,Excellent,Short,High,Medium
27654.09,3095,431,47337.19,3.11,Standard,16,45,67,85.65,4,Affordable,High,Good,Medium,High,High
16595.11,367,884,96854.29,4.54,Standard,6,21,40,92.75,4,Affordable,Medium,Excellent,Short,Low,High
41914.13,4069,731,17409.94,4.53,Standard,8,14,130,449.16,4,Stylish,Very High,Excellent,Short,Low,High
34813.78,929,917,54585.44,0.96,Basic,1,37,186,120.97,2,Affordable,High,Poor,Short,Medium,Low
36138.62,2362,284,8886.28,2.19,Standard,27,39,56,183.44,3,Affordable,High,Average,Long,Medium,Medium
42365.91,3034,907,32894.92,3.91,Basic,31,41,2,261.7,1,Innovative,Very High,Excellent,Very Long,High,Low
38594.96,1075,723,73108.59,0.95,Basic,28,26,53,328.14,4,Innovative,Very High,Poor,Very Long,Medium,High
2627.83,131,314,28773.77,0.59,Standard,10,54,47,280.81,3,Affordable,Low,Poor,Medium,High,Medium
5280.16,4006,781,35916.81,2.55,Premium,7,64,179,349.94,3,Stylish,Low,Average,Short,Very High,Medium
28272.25,252,307,92965.18,3.68,Basic,22,64,182,324.41,4,Stylish,High,Good,Long,Very High,High
9491.03,1800,109,75615.0,4.84,Standard,15,46,169,178.76,3,Affordable,Low,Excellent,Medium,High,Medium
7672.91,2841,744,81771.35,3.11,Basic,11,10,166,410.81,1,Innovative,Low,Good,Medium,Low,Low
21188.83,1791,619,68664.75,3.2,Basic,22,11,8,142.29,1,Stylish,Medium,Good,Long,Low,Low
34632.99,3859,535,7022.43,2.11,Basic,18,61,93,90.51,1,Affordable,High,Average,Medium,Very High,Low
23835.34,3981,597,42448.79,3.71,Standard,7,22,106,343.25,1,Stylish,Medium,Good,Short,Low,Low
44378.14,648,492,50413.55,3.57,Basic,8,60,65,222.49,3,Durable,Very High,Good,Short,Very High,Medium
35195.43,3045,513,59749.47,1.52,Basic,30,11,180,395.81,2,Durable,High,Poor,Very Long,Low,Low
3986.26,2512,509,94144.93,4.27,Premium,18,35,74,120.98,2,Durable,Low,Excellent,Medium,Medium,Low
40099.18,68,945,31756.93,3.36,Standard,15,57,194,126.1,4,Affordable,Very High,Good,Medium,Very High,High
28725.72,4388,667,16006.44,4.15,Premium,8,58,160,61.12,3,Innovative,High,Excellent,Short,Very High,Medium
8400.01,2827,877,43140.83,1.65,Basic,8,58,77,447.64,4,Stylish,Low,Average,Short,Very High,High
42521.89,3291,507,11966.08,4.11,Premium,19,61,30,110.86,3,Innovative,Very High,Excellent,Long,Very High,Medium
2925.65,4032,394,24815.83,2.33,Standard,10,31,60,123.21,4,Durable,Low,Average,Medium,Medium,High
48220.3,2200,369,96087.05,2.82,Premium,35,20,165,404.23,4,Stylish,Very High,Good,Very Long,Low,High
